Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,Factory Latitude,Factory Longitude,Distance (km),Lead Time,Profit Margin (%),Sales per Unit,Cost per Unit,Distance Category,High Value Order,Route ID,Shipping Rate ($/km),Estimated Shipping Cost,Delivery Efficiency Score,Factory Order Count,Factory Workload
1,ORD00001,2025-02-07,2025-02-08,1,CUST9313,USA,Houston,TX,38140,2,2,P138,Laffy Taffy,0.30703720601556395,1.5370835197434929,0.3573125045644051,0.2570941665326487,2,48.11914,-96.18115,-1.4538892700015396,-2.0441747911846555,0.3735044874174878,-1.2052290968041204,-1.3996922870796207,2,1,Sugar Shack_South,1.1,-1.0112748608616466,0.14664383784453108,1.3397671334964143,0
2,ORD00002,2025-05-04,2025-05-05,1,CUST3028,USA,Chicago,IL,39260,0,0,P745,Wonka Bar - Fudge Mallows,-1.085341982579614,-1.175131312917437,-1.1020760326864103,-1.006710464096455,0,32.881893,-111.768036,-1.32474719908173,-2.0441747911846555,-1.6880253714658535,-0.4695898298833998,0.19631442569480823,2,0,Lot's O' Nuts_Central,1.1,-0.8548795276920504,0.9475465012500157,-0.3399946550483219,0
3,ORD00003,2025-04-24,2025-04-25,1,CUST7867,USA,New York,NY,28907,2,1,P653,Everlasting Gobstopper,-1.2751502218622783,-1.4487319320016536,-1.1724925476411179,-1.2571623405172552,1,41.446333,-90.565487,-1.4451830629732376,-2.0441747911846555,-1.3350150787503023,-0.3512110972754677,0.21031448457879476,2,0,Secret Factory_East,1.1,-1.0007313552547075,0.2006372758269233,-0.3869291756106013,2
4,ORD00004,2025-10-25,2025-10-29,2,CUST2028,USA,Los Angeles,CA,83972,0,3,P161,Wonka Bar - Fudge Mallows,-0.6049153075497491,-0.5803473583865314,-0.4863700638475601,-0.6388628427718842,0,32.881893,-111.768036,-1.1274065064402237,-0.3340452949342467,0.2616969569844485,-0.3342998497600488,-0.43368822408457125,1,0,Lot's O' Nuts_West,0.6,-1.0328411223303857,-1.3516740661668531,-0.3399946550483219,0
5,ORD00005,2025-08-07,2025-08-12,1,CUST6924,USA,Houston,TX,49291,1,2,P354,Fizzy Lifting Drinks,0.3826201933354764,0.1809761034130279,0.7996084081055409,0.10487216040133934,2,48.11914,-96.18115,1.41915904933804,0.23599787048255622,1.3182153063573252,0.4689844072223469,-0.11168686975288825,3,1,Sugar Shack_South,1.1,2.4680819894282435,1.5720706005796856,1.3397671334964143,0
6,ORD00006,2025-10-22,2025-10-25,2,CUST8353,USA,Houston,TX,47740,1,2,P723,Lickable Wallpaper,0.3742357836490914,0.0977063497787011,0.7429744850458827,0.12636232597281827,1,41.446333,-90.565487,-1.253646508350599,-0.9040884603510496,1.1976139252160694,0.6211856348611164,0.09831401350690491,2,1,Secret Factory_South,0.6,-1.1162306666761763,-1.221189924376072,-0.3869291756106013,2
7,ORD00007,2025-06-25,2025-06-27,1,CUST2271,USA,New York,NY,83148,0,1,P686,Wonka Bar - Fudge Mallows,-0.3813721492936295,-0.8063652611082756,-0.39333756855597546,-0.3500411139920781,0,32.881893,-111.768036,-0.7602947767468329,-1.4741316257678525,-0.16543293455749894,1.229990545416196,1.5263200196734992,1,0,Lot's O' Nuts_East,1.1,-0.17130891417550123,0.9610448607456138,-0.3399946550483219,0
8,ORD00008,2025-11-01,2025-11-06,0,CUST2533,USA,Los Angeles,CA,45381,1,3,P585,Lickable Wallpaper,1.2537356997223965,1.2991699379311306,0.9712643253438853,1.3464626659804926,1,41.446333,-90.565487,0.3410404123333392,0.23599787048255622,-0.04483155341624302,0.19840444697564488,0.2943148378827121,3,1,Secret Factory_West,0.8,0.4272746541457211,0.2348331198824385,-0.3869291756106013,2
9,ORD00009,2025-11-28,2025-12-04,3,CUST6685,USA,New York,NY,12957,2,1,P572,Hair Toffee,0.2816373766715149,0.9898822815750596,0.08291362956296407,0.3847396535263627,3,35.1175,-89.971107,0.10016868455032397,0.8060410358993592,-0.29608443079385927,-0.7993591564340677,-0.7416895195322684,0,1,The Other Factory_East,0.45,-0.5497568654306321,-0.47428069895297953,-1.1181196012124277,1
10,ORD00010,2025-01-31,2025-02-08,3,CUST5056,USA,Houston,TX,62153,2,2,P500,Laffy Taffy,-0.27232550331364486,-0.40191217202725965,-0.6199985570845632,-0.043691945207165156,2,48.11914,-96.18115,1.1942487011069114,1.9461273667329648,-1.3526027801667355,0.21531569449106414,0.952317605430064,3,0,Sugar Shack_South,0.45,-0.007724827182992168,-0.13907143814562778,1.3397671334964143,0
11,ORD00011,2025-08-18,2025-08-23,3,CUST8053,USA,Chicago,IL,82118,1,0,P385,Kazookles,1.059463995283156,0.716281662490843,1.485793540044076,0.7333451939757619,3,35.1175,-89.971107,-0.7515885697185312,0.23599787048255622,1.218970419793167,0.7226531199536297,0.1823143668108223,1,1,The Other Factory_Central,0.45,-0.9717367148356252,-1.1204021734756067,-1.1181196012124277,1
12,ORD00012,2025-04-29,2025-05-04,0,CUST4822,USA,Chicago,IL,11581,2,0,P596,Hair Toffee,-1.1034671035192993,-0.8063652611082756,-1.0691857565732237,-1.0547204084582698,3,35.1175,-89.971107,0.5209686909182422,0.23599787048255622,-1.252101629215689,-1.6195546609318823,-1.4416924637315793,3,0,The Other Factory_Central,0.8,0.5857467384197144,0.4580059968763265,-1.1181196012124277,1
13,ORD00013,2025-01-03,2025-01-07,0,CUST6220,USA,Houston,TX,26448,1,2,P807,Wonka Gum,-0.8262144032133364,-0.8420522983801298,-0.7747394751789832,-0.8054116259508463,1,41.446333,-90.565487,-0.0652492489874094,-0.3340452949342467,-0.3576413857513755,-0.4188560873371432,-0.2656875174767371,0,0,Secret Factory_South,0.8,0.06943446384960744,0.2951257922961097,-0.3869291756106013,2
14,ORD00014,2025-07-20,2025-07-25,1,CUST7560,USA,New York,NY,18158,1,1,P295,Wonka Gum,0.07935116297323033,0.6924903043096068,-0.4662600093097832,0.40619171596739573,1,41.446333,-90.565487,1.5831259483710565,0.23599787048255622,-1.4732041613079914,-0.8162704039494866,-0.33568781189666796,3,1,Secret Factory_East,1.1,2.6666513450255964,1.7754458836466966,-0.3869291756106013,2
15,ORD00015,2025-02-26,2025-02-28,1,CUST3478,USA,Houston,TX,80335,0,2,P203,Wonka Bar - Fudge Mallows,0.1417903551083099,0.34751561068168146,-0.43524917754592174,0.48380779268566293,0,32.881893,-111.768036,-0.7762561562987195,-1.4741316257678525,-1.479485483242432,-0.2751104834560829,0.364315132302643,1,1,Lot's O' Nuts_South,1.1,-0.19063867445488955,0.911550875928421,-0.3399946550483219,0
16,ORD00016,2025-11-11,2025-11-16,3,CUST6691,USA,New York,NY,88941,2,1,P472,Laffy Taffy,-0.3165902544520601,0.5616378343128076,-0.5077330812848869,-0.1803678741165536,2,48.11914,-96.18115,-0.5049127039166481,0.23599787048255622,-0.816177886965525,-1.3405190769274713,-1.2176915215877995,1,0,Sugar Shack_East,0.45,-0.8495278998461042,-0.8144393582420506,1.3397671334964143,0
17,ORD00017,2025-08-27,2025-09-04,3,CUST2674,USA,New York,NY,54909,2,1,P858,Nerds,0.5561034937581794,1.1921088261155675,-0.25106363131207765,1.0119552837960708,2,48.11914,-96.18115,1.1608749074984213,1.9461273667329648,-1.5573738752294928,-0.6133354337644601,-0.0416865753329574,3,1,Sugar Shack_East,0.45,-0.0242589609756921,-0.1648982993138721,1.3397671334964143,0
18,ORD00018,2025-01-12,2025-01-19,2,CUST3401,USA,Chicago,IL,81194,0,0,P127,Wonka Bar - Triple Dazzle Caramel,0.0917551573033823,-0.47328624657096835,0.10433929514526848,0.07831427848055782,4,32.076176,-81.088371,1.3277438755408715,1.376084201316162,0.19888373764004444,1.492114881905188,1.5963203140934301,3,1,Wicked Choccy's_Central,0.6,0.5889417401187867,0.32023274095792226,-1.1452922183800631,1
19,ORD00019,2025-09-23,2025-09-29,3,CUST4650,USA,Los Angeles,CA,79807,1,3,P654,Lickable Wallpaper,1.0127579013242938,0.5021594388597169,0.5840361412379702,1.2096343245493206,1,41.446333,-90.565487,-0.18858718188835094,0.8060410358993592,-0.4078919612268986,1.0270555752311694,1.4423196663695819,0,1,Secret Factory_West,0.45,-0.6928130665066008,-0.7727744219323044,-0.3869291756106013,2
20,ORD00020,2025-05-03,2025-05-07,2,CUST9480,USA,Los Angeles,CA,74589,1,3,P464,Lickable Wallpaper,0.7964401314155587,0.716281662490843,0.17632201372441353,1.1233688372198374,1,41.446333,-90.565487,-0.58036649816193,-0.3340452949342467,-0.922960359851012,0.3083275558258681,0.8543171932421608,1,1,Secret Factory_West,0.6,-0.6714864301652922,-0.5035271445267753,-0.3869291756106013,2
